UserId;OwnerUserId;NbrOfComments
13915;13915;3
14031;3459;2
14031;21;2
10683;10620;2
10683;14006;2
2723;413;2
2723;12275;2
2723;8751;2
2723;843;2
12603;9966;2
12473;10683;2
11097;14030;2
10620;10620;18
12473;12206;2
12909;14044;2
13285;14044;2
14030;14030;2
14044;14044;2
381;14048;2
13481;10814;2
7999;843;2
11097;1279;2
1151;14059;2
14059;14059;2
10936;1151;2
1151;1151;6
13481;10663;2
910;14048;2
13481;11097;2
9420;14057;4
14057;14057;4
14053;836;4
836;836;433
10663;10663;2
12473;7999;2
12473;4889;2
13413;6403;2
6403;6403;10
13285;6403;2
10522;12473;2
11110;12473;2
10522;8951;2
9318;14112;2
14112;14112;2
14112;11097;2
14109;1223;2
13123;843;2
12473;8820;8
11097;;4
13285;1097;4
1097;1097;4
12473;13680;2
13562;;2
11097;12473;4
12776;12473;4
13285;14154;6
13680;13680;2
11097;12867;7
14154;14154;4
13285;10171;2
14171;2458;2
;14167;2
12867;12867;16
13562;11097;2
13680;14175;2
836;122;6
122;122;14
14167;14167;6
11097;14167;4
13917;12469;2
13917;12473;2
9420;924;4
924;924;243
14189;7966;2
9634;11097;2
14200;9420;4
14200;12473;4
11097;3151;10
3151;12603;2
3151;3151;12
11097;12603;2
11097;13481;6
9420;13481;2
12473;13390;2
10814;13498;2
;13596;2
13481;13481;19
13596;13596;3
13498;8842;2
13132;14218;4
12473;11097;2
12473;13274;2
11097;201;2
14218;14218;2
13578;14177;2
8842;8842;2
14177;14177;2
9768;2576;2
14240;11097;2
11097;14258;4
12363;11097;2
;14231;2
11097;14267;4
14267;14267;4
11097;10814;2
14044;9420;2
11097;10881;2
10814;14267;2
11097;924;2
10881;10884;2
11097;4619;2
4619;4619;7
;4619;4
10884;10884;2
843;684;3
;11097;2
14258;14258;2
;14294;2
12473;14294;4
14294;14294;6
381;14317;2
12473;13593;2
14327;13320;2
11097;14327;2
13296;7923;2
8005;10150;2
12384;10150;2
14328;14327;2
14327;14327;2
21;14327;2
;14341;2
14009;;2
381;13285;2
471;14267;2
14293;12473;2
924;11097;2
9123;12473;2
11097;3457;2
1151;14320;2
14332;14332;5
;14332;2
14332;;2
14332;11097;2
11097;14332;2
14357;924;4
836;9123;10
9123;9123;48
14320;14320;2
13285;14368;4
12603;14357;2
14368;14368;2
14368;14370;2
836;989;6
12473;10265;2
14384;12473;4
14384;11097;2
14368;12473;8
6550;7923;2
3151;11097;9
8041;2723;2
8041;12473;2
14391;8041;4
8041;11097;3
8041;8041;12
11097;14397;2
14397;14397;2
13285;14392;2
14391;21;2
9420;14392;2
8820;12575;2
;14393;2
12575;12575;10
8820;8820;142
12527;13481;3
924;14393;2
924;14392;2
14409;11029;2
8552;9123;2
5177;8774;2
14392;924;2
;14411;2
8774;8774;4
8774;14343;4
11097;1127;2
13833;5091;2
5280;5091;2
7764;5091;2
12473;14411;2
471;13481;6
;13481;6
12963;12963;3
14434;11097;4
12867;12490;4
12490;12490;8
11097;14427;2
14427;14427;2
14427;10620;4
12473;14445;4
14445;14445;3
12963;;2
13578;14472;2
141;10094;2
11097;8820;5
924;14472;2
11097;14384;2
21;14384;2
14471;5091;2
8820;924;4
13285;14445;2
14009;836;2
13727;14495;2
13625;12580;2
14518;2723;2
8878;989;2
14353;12785;2
14340;10094;2
1077;10094;2
13023;59;2
14504;924;2
14504;201;2
201;201;53
10663;227;2
13023;843;4
13023;13881;2
13023;14231;2
843;843;22
11097;14573;2
8820;3169;2
14231;14231;2
843;8820;2
13727;906;4
836;14586;5
14586;14586;5
816;14531;2
11097;906;2
12473;14596;2
14596;14596;2
14586;12473;2
13285;8605;2
11097;8206;4
8206;8206;4
8206;11097;4
843;14586;2
13736;843;2
1151;;2
2981;13481;2
14617;989;2
14427;12490;2
11097;1093;2
1093;1093;5
14636;14636;3
12473;;4
14353;14588;4
14353;10620;2
9503;13285;4
13285;13285;6
12473;14642;2
14642;14642;2
13023;11136;2
14647;;2
2981;9503;2
14588;14588;10
9123;14656;2
8714;8820;2
8820;12473;2
9503;9503;2
14644;14636;2
13023;11097;2
13413;14427;2
2981;3314;2
14463;14586;2
14518;3457;2
13285;14694;2
14674;843;2
3314;13413;6
13413;13413;29
13413;3314;2
3314;3314;15
5279;14586;2
14681;11097;2
;14566;2
3151;924;2
836;13100;8
13100;13100;17
51939;44039;6
51939;47488;2
44039;44039;19
44039;51589;2
381;42587;2
381;51837;2
381;51987;2
44039;51837;4
51837;51837;4
44039;17310;2
44039;49914;4
47488;47488;9
49914;49914;20
44039;51687;4
381;51687;7
51589;51541;2
51687;51687;14
51905;40044;3
51905;51659;2
51999;33551;4
50158;50158;2
33551;33551;13
35644;52017;2
35644;51748;2
51656;51656;2
28175;52017;2
33759;52012;2
28175;8820;17
42587;49914;4
51748;51748;2
33759;50625;4
41170;21608;4
35644;52037;2
35644;52035;2
35644;49278;2
49278;49278;4
50625;50625;4
51659;51659;12
51696;15412;2
33759;52035;2
33759;33759;7
31106;37967;4
37967;37967;4
836;50152;4
32543;51714;6
50745;15828;2
29587;52068;4
52068;52068;13
381;29033;2
46375;51659;2
28175;26019;39
28175;52096;2
9728;9728;7
836;27003;4
50175;27003;2
44456;42587;4
32220;30578;2
42587;42587;2
51714;51714;50
51511;33759;4
51717;12312;2
51714;52122;2
43294;43294;15
35644;52121;4
21969;51988;2
35644;28175;18
28175;28175;352
51748;33551;2
50471;52129;2
15521;2916;2
50146;41929;4
41929;41929;8
50152;50152;6
52121;52121;2
52121;52109;2
41306;50174;2
51659;50174;2
51714;49914;4
12312;12312;2
29587;10654;4
51714;52148;4
40853;40853;196
42829;19212;2
19212;19212;6
29587;52172;2
29587;20978;2
52172;52172;6
51714;49617;2
22074;52109;2
29587;47796;2
29587;52187;8
52187;52187;8
51859;45264;6
50146;51714;2
52187;29587;6
10663;50829;2
35644;29587;9
29587;29587;176
35644;47796;2
29587;50829;2
35644;50174;4
50829;50829;2
50625;49914;4
52148;52148;4
52148;29587;2
39276;15501;2
4855;52207;2
8560;50832;2
52207;52207;2
8560;10654;2
50174;50174;2
50174;52191;2
52213;75;2
1330;10654;2
50174;43294;2
40853;44039;2
50146;44039;4
49617;8560;2
51708;50727;6
50727;50727;127
51714;46375;2
49067;49067;4
49067;29587;10
50727;51714;4
50727;52172;8
29587;49067;3
25223;52237;2
52237;52237;2
10654;10654;2
10654;1330;4
45264;45264;229
45374;35679;2
8560;8560;62
29781;46886;2
51852;51852;2
52250;44456;2
35644;44680;12
35644;23857;2
46886;46886;8
31086;25837;2
29587;51668;2
45374;30212;2
46375;50727;14
49067;52257;6
15192;52213;2
52290;52290;2
33202;51904;2
33202;30182;2
34269;52285;2
51904;51904;2
52287;46375;2
16853;46375;2
52116;47531;2
51948;227;2
51977;45768;2
51897;45768;2
51970;45768;2
51982;45768;2
29587;52206;6
44680;44680;17
28175;9122;2
29587;52326;2
44456;50828;4
50828;50828;4
50211;50211;9
50211;45264;4
35644;46375;2
29587;52335;2
52335;52335;2
52206;52206;8
52336;33886;2
44139;28584;2
28175;52342;2
52342;52342;2
52298;14904;2
35644;51771;6
35644;52241;2
52241;52241;2
44039;39102;2
39102;39102;4
52338;30376;2
51659;39102;2
44039;52360;2
44039;52366;2
30507;30507;3
8820;52366;2
27702;52371;4
52371;52371;4
52206;8820;2
1330;1330;64
52206;836;8
33354;15250;4
8560;52371;2
44039;26643;2
28175;52390;2
47488;52390;2
52371;8560;6
44039;21560;2
51659;52387;2
35644;52390;2
8560;52378;2
35644;27702;2
51582;50211;3
44456;52390;2
52257;52257;9
21;51687;2
1256;50820;2
50307;52429;2
43077;26444;2
29204;23159;2
35644;52440;2
29587;52442;2
28175;52442;2
44456;46305;2
52442;52442;2
51687;45264;5
42613;15250;4
836;51672;2
29587;52444;10
52444;52444;6
44039;52444;2
44039;13548;2
44039;52442;2
44039;52440;2
50211;41968;4
52109;44477;2
52444;29587;6
41968;41968;2
41968;50211;4
39286;44192;2
20492;82;2
51714;82;2
45264;51570;2
45264;47380;3
44477;44477;5
14372;32771;2
44477;52109;2
34158;45264;2
23159;23159;47
44039;52472;2
52440;52440;2
52475;23305;2
35644;52473;2
35644;46527;2
52472;52109;2
52472;52472;2
28385;21319;2
52483;52473;2
381;50083;2
49914;33202;2
50083;50083;2
28175;50946;2
33202;50163;2
