owneruserid,userid,NbrOfComments
10327,10327,4
10327,30433,1
10335,9956,1
10344,41,1
10344,10344,1
10345,,1
10345,381,1
10345,710,1
10345,8113,2
10345,10025,1
10345,10345,4
10345,18843,1
10345,20302,1
10346,381,1
10346,7980,1
10346,9420,1
10346,9943,1
10346,10346,1
10353,7980,3
10353,10353,3
10372,10372,2
10372,13005,1
10372,13100,1
10372,23536,1
10372,23658,1
10372,69609,1
10381,,4
10381,10381,6
10383,10383,1
10383,79573,1
10383,90289,1
10384,15927,1
10393,381,2
10393,12515,1
10396,8820,1
10396,35718,1
10413,471,1
10416,7980,2
10416,10416,1
10423,10423,4
10423,21414,2
10427,12473,1
10430,61528,1
10446,10429,1
10446,10596,1
10456,27432,1
10462,10462,1
10462,27003,1
10462,45032,1
10462,50951,1
10463,7980,2
10463,10463,1
10463,26138,1
10464,381,1
10469,19161,1
10469,21232,2
10469,27250,2
10487,7848,1
10487,9420,1
10490,7980,1
10490,12241,1
10506,10463,1
10506,10510,1
10510,609,2
10510,10510,2
10513,71442,1
10517,21,1
10517,515,1
10517,836,1
10517,7980,1
10517,10517,2
10517,12747,1
10517,13100,1
10517,18811,1
10521,10513,2
10521,10521,1
10521,15527,1
10522,381,2
10522,7980,1
10522,10522,1
10522,53999,1
10523,609,1
10523,836,1
10523,5316,1
10523,7980,1
10523,10523,1
10523,10587,2
10523,14779,1
10523,35860,1
10524,10427,1
10532,381,1
10536,10531,2
10536,10536,1
10548,10548,1
10548,25908,1
10548,58821,1
10549,9420,1
10549,13285,1
10568,8013,2
10568,10560,3
10568,10568,2
10574,24818,1
10574,73944,2
10584,10446,1
10584,10584,1
10587,2817,1
10587,9323,3
10587,10587,2
10587,68795,1
10588,10588,3
10588,10815,1
10588,27069,2
10588,53060,1
10592,10318,1
10592,10327,1
10608,1279,1
10620,471,1
10620,924,1
10620,6550,1
10620,8630,1
10620,10620,13
10620,10683,1
10620,11124,1
10620,12345,1
10620,12905,1
10620,13145,1
10620,13727,1
10620,14353,1
10620,14427,2
10620,14981,1
10620,15828,4
10620,20509,2
10620,49584,1
10620,59171,1
10620,69263,2
10627,10655,1
10640,836,1
10654,1330,1
10654,8560,1
10654,10654,1
10654,29587,2
10663,3024,1
10663,10663,1
10663,13481,1
10663,23228,1
10663,75652,1
10669,7980,3
10669,10669,2
10671,381,1
10671,50519,1
10683,381,1
10683,12473,1
10683,13413,1
10683,13562,1
10694,21,1
10694,10694,1
10694,15361,1
10701,381,1
10717,21,1
10717,10717,1
10717,26394,1
10717,61471,1
10727,10727,2
10727,59337,1
10727,59563,1
10751,23305,1
10793,381,1
10799,10799,3
10799,14560,1
10799,29587,4
10810,21,1
10810,5177,1
10810,10810,3
10810,15412,1
10810,53896,1
10810,60453,1
10813,9420,1
10814,,1
10814,10814,20
10814,11097,1
10814,12909,3
10814,13481,1
10814,13778,2
10814,13915,1
10814,16625,3
10814,45177,1
10814,49032,1
10814,67328,1
10814,69154,1
10814,69626,1
10814,70923,1
10814,71442,2
10814,71477,1
10814,75147,1
10814,75450,2
10814,75702,1
10814,75770,1
10814,80020,1
10814,82979,1
10814,83727,1
10815,7980,1
10824,10824,2
10824,30136,2
10832,1359,3
10832,10832,2
10844,9420,1
10844,10799,1
10845,16613,1
10846,1359,1
10865,10815,1
10865,13413,1
10879,,1
10879,1077,1
10879,7848,1
10879,8960,1
10879,10879,3
10879,17461,2
10879,21024,1
10879,58388,1
10881,381,3
10881,471,1
10881,10881,3
10881,11097,1
10882,381,1
10882,471,1
10884,10881,1
10884,10884,1
10891,9420,1
10894,1359,1
10899,381,1
10902,,1
10902,21,2
10902,471,1
10902,836,2
10902,2723,1
10902,9123,1
10902,10902,15
10902,12384,3
10902,14909,1
10902,21686,1
10902,22012,1
10902,23305,1
10902,24711,1
10902,24719,1
10902,25876,8
10902,28201,1
10902,29077,1
10902,41083,1
10902,86325,1
10904,10904,2
10904,13155,1
10904,30170,3
10904,30520,2
10904,31086,1
10904,31133,1
10904,51344,2
10907,201,2
10907,836,2
10907,9420,2
10907,10907,5
10907,13285,1
10907,14904,1
10915,381,1
10915,1133,1
10936,97,2
10936,1133,1
10936,1151,2
10936,5091,3
10936,8013,1
10936,9793,1
10936,10522,1
10936,10936,10
10936,12533,1
10936,12663,3
10938,836,2
10938,8005,1
10938,10938,2
10940,1279,1
10940,10940,1
10943,,1
10943,5177,1
10943,10943,1
10947,381,1
10949,836,3
10949,10949,2
10972,381,1
10975,10975,2
10975,15398,1
10975,23204,1
10979,7720,1
10983,471,1
10989,9893,1
10989,10989,1
10992,10992,1
10992,27788,1
10994,9420,1
10994,10994,1
10998,7980,1
10998,10998,3
11007,2481,2
11007,5091,2
11007,11007,3
11007,15527,1
11007,20594,1
11007,29431,1
11007,33020,1
11021,10522,1
11021,11021,2
11021,11063,1
11021,62725,1
11027,14518,1
11029,7980,2
11029,11029,1
11029,14409,1
11033,53479,3
11034,471,1
11034,20372,1
11044,21,2
11044,676,1
11044,1151,1
11044,9420,2
11044,10814,1
11044,11044,2
11044,11097,3
11054,947,4
11054,10983,1
11054,11054,6
11054,11146,1
11061,11061,2
11061,42220,2
11061,46374,3
11064,7848,1
11066,947,1
11066,13184,1
11074,381,1
11074,7980,1
11077,8013,1
11080,11066,1
11080,11080,2
11080,21254,1
11080,39656,1
11080,86565,1
11080,86962,1
11082,12363,1
11094,8479,1
11097,,1
11097,201,2
11097,471,3
11097,554,1
11097,816,1
11097,836,2
11097,924,1
11097,2447,1
11097,2519,1
11097,2647,3
11097,2853,1
11097,3151,6
11097,6529,1
11097,8013,4
11097,8041,2
11097,8206,2
11097,8820,2
11097,9123,2
11097,9634,1
11097,9793,1
11097,10810,1
11097,11097,56
11097,12363,1
11097,12473,1
11097,12732,2
11097,12905,1
11097,13011,2
11097,13023,1
11097,13046,1
11097,13132,3
11097,13236,1
11097,13481,1
11097,13518,1
11097,13562,1
11097,14112,1
11097,14240,1
11097,14332,1
11097,14384,1
11097,14434,2
11097,14487,1
11097,14672,1
11097,14681,1
11097,14716,1
11097,14999,1
11097,15527,1
11097,15686,2
11097,15762,1
11097,15984,1
11097,16179,2
11097,16613,1
11097,16853,1
11097,17359,1
11097,20995,1
11097,21162,1
11097,23402,2
11097,26686,1
11097,28175,3
11097,29268,1
11097,35644,1
11097,37480,1
11097,38124,1
11097,38138,1
11097,44539,2
11097,44762,1
11097,46174,1
11097,46785,1
11097,53479,2
11097,58445,1
11097,65628,1
11097,70066,1
11097,85577,1
11098,11098,4
11098,12294,1
11098,12515,1
11098,12516,2
11113,836,1
11113,8013,6
11113,11113,2
11113,25429,1
11121,9420,1
11121,17034,1
11121,28714,1
11124,1301,1
11124,11124,3
11124,24162,1
11124,28384,1
11136,11136,2
11136,13023,1
11136,54118,1
11141,471,1
11141,836,1
11141,7980,2
11141,10967,2
11141,11141,2
11141,15527,1
11141,17487,1
11142,11142,2
11142,12203,1
11142,82358,1
11146,836,1
11146,947,1
11146,11146,1
12177,21,1
12177,2452,1
12177,12177,1
12189,8037,1
12202,381,2
12202,7980,1
12202,12202,3
12202,14005,1
12202,23305,1
12202,25157,4
12202,27250,1
12202,29587,1
12202,53479,2
12206,381,2
12206,471,1
12206,676,1
12206,7980,2
12206,10587,1
12206,12473,1
12206,13727,1
12206,16538,1
12206,17360,1
12206,26394,1
12206,27250,1
12215,8320,1
12215,12215,1
12215,32215,1
12222,836,1
12222,12222,1
12234,4647,1
12234,12234,1
12235,10587,1
12235,12235,1
12237,836,3
12237,12237,3
12237,12438,1
12237,12515,1
12237,13727,1
12237,19065,1
12237,21043,4
12240,947,1
12240,11136,2
12240,12240,1
12241,836,1
12241,5143,1
12241,12241,1
12241,12515,2
12250,381,1
12250,836,2
12250,1279,3
12250,7980,1
12250,12250,5
12250,25104,1
12258,,1
12265,471,1
12265,905,1
12275,2723,1
12290,13416,1
12294,836,1
12294,12294,1
12312,12312,1
12312,51717,1
12314,8041,1
12321,,1
12321,6550,1
12321,7980,1
12321,12321,1
12328,10345,1
12333,7848,1
12333,7980,2
12333,12333,2
12341,10024,1
12341,12341,2
12341,18232,1
12343,6550,2
12343,27693,1
12345,,3
12345,381,1
12345,676,1
12345,8005,2
12345,8560,1
12345,9123,1
12345,10814,1
12345,12280,1
12345,12345,14
12345,14904,2
12345,16212,1
12345,16213,1
12345,29202,1
12345,31317,1
12345,31513,1
12345,32958,1
12345,35644,2
12345,39565,1
12345,45507,1
12345,49985,1
12345,64377,1
12350,7848,1
12350,7980,1
12351,21,1
12351,11021,2
12355,7980,1
12355,10814,1
12355,12355,2
12356,12355,1
12363,381,1
12363,1244,1
12363,2742,1
12363,11097,1
12363,12363,8
12363,13132,1
12363,13348,2
12363,14904,1
12363,24409,1
12363,27432,2
12377,8820,1
12377,12377,1
12377,55122,1
12378,32189,1
12381,836,1
12381,7980,2
12381,12381,2
12384,836,1
12384,2647,1
12384,7848,1
12384,7916,1
12384,10050,1
12384,10345,1
12384,12384,9
12384,12771,1
12384,13056,1
12384,13291,1
12384,19161,2
12384,24346,1
12384,24379,2
12384,25618,1
12384,25741,1
12384,25936,1
12384,26149,2
12384,27250,2
12384,28665,1
12386,21,1
12386,843,1
12395,,1
12395,21,1
12395,335,1
12403,12402,2
12403,12403,2
12411,924,1
12411,24996,1
12438,6550,1
12438,7980,2
12438,12438,5
12438,18053,2
12443,21,1
12443,381,1
12443,924,1
12443,36972,1
12454,1077,1
12454,9420,1
12454,10938,1
12454,12454,4
12457,836,1
12457,7980,1
12462,7980,1
12469,12469,1
12469,13917,1
12473,843,1
12473,5091,1
12473,8041,1
12473,8820,1
12473,8995,1
12473,9123,1
12473,9373,2
12473,10522,1
12473,10620,1
12473,11097,2
12473,11110,1
12473,12473,40
12473,12557,1
12473,12597,5
12473,12776,2
12473,13285,5
12473,13413,2
12473,13562,5
12473,13596,1
12473,13618,1
12473,13625,1
12473,13736,2
12473,13767,5
12473,13884,1
12473,13917,1
12473,14200,2
12473,14293,1
12473,14368,4
12473,14384,2
12473,14586,1
12473,24885,1
12473,37754,1
12473,38302,1
12473,45615,1
12473,46800,1
12485,303,1
12485,8552,1
12485,10936,1
12485,12485,2
12490,12490,5
12490,12867,2
12490,14427,1
12490,14604,2
12490,50449,2
12492,12492,1
12492,20590,2
12501,13232,1
12515,471,2
12515,676,1
12515,836,2
12515,1021,1
12515,1264,1
12515,2723,2
12515,8285,1
12515,8816,1
12515,8820,1
12515,9465,1
12515,10879,1
12515,12345,3
12515,12515,37
12515,12608,1
12515,13686,5
12515,14904,2
12515,14909,2
12515,16853,1
12515,17509,1
12515,17795,1
12515,17815,3
12515,18035,1
12515,18139,1
12515,18369,1
12515,19161,1
12515,20372,2
12515,20596,1
12515,20692,1
12515,20722,1
12515,20766,3
12515,21080,2
12515,21560,1
12515,23679,1
12515,23847,1
12515,24050,1
12515,30335,1
12515,33202,3
12515,33393,2
12515,33685,2
12515,37822,1
12515,38330,1
12515,39518,1
12515,44161,1
12515,46293,1
12515,46598,1
12515,47143,1
12515,49488,1
12515,62180,1
12516,21,1
12516,836,1
12516,947,1
12521,9771,1
12527,381,1
12527,5177,1
12527,10181,2
12527,11097,1
12527,12527,6
12527,16213,2
12527,27204,1
12527,27607,1
12527,31047,1
12533,,2
12533,381,3
12533,924,1
12533,12533,5
12533,14688,1
12533,24215,1
12533,26219,1
12535,12535,1
12535,16220,1
12536,836,4
12536,12536,2
12554,24268,1
12556,6550,1
12557,1279,1
12557,12557,1
12558,12558,1
12558,25817,1
12575,8820,1
12575,10094,1
12575,12575,6
12575,15609,4
12575,16928,2
12580,277,1
12580,10936,1
12580,12350,1
12580,12580,3
12580,13625,1
12580,13775,1
12580,13786,1
12580,26194,1
12603,924,1
12603,3151,1
12603,10814,1
12603,11097,1
12603,12603,3
12611,3151,1
12611,13285,1
12613,13131,1
12614,319,1
12619,609,1
12626,3024,1
12626,12626,2
12626,13132,1
12632,3591,1
12663,12663,1
12665,471,1
12665,12301,1
12665,12665,4
12665,12729,4
12699,836,2
12699,2452,2
12699,12473,2
12699,12699,8
12710,8560,1
12712,5211,1
12723,7848,1
12723,7980,1
12730,12665,1
12730,12730,1
12732,755,1
12732,11097,1
12757,6550,1
12757,12757,2
12771,471,2
12771,12771,2
12776,836,1
12776,12776,1
12777,836,2
12777,6550,1
12777,12777,1
12785,14353,1
12785,16853,1
12786,2750,1
12786,5268,2
12786,16291,1
12792,12792,1
12792,20372,1
12798,4933,1
12798,9420,1
12798,12575,1
12798,12776,2
12798,12798,2
12798,13413,1
12798,16735,1
12807,21,1
12807,4933,2
12809,381,1
12809,20544,1
12827,,1
12827,21,1
12827,381,1
12827,947,1
12827,2452,1
12827,12241,1
12827,41651,1
12844,21,1
12844,836,2
12844,12844,1
12858,133,1
12858,836,1
12858,2742,1
12858,10816,1
12858,12858,2
12859,836,1
12861,27250,1
12866,381,2
12866,471,1
12866,1114,1
12866,12866,2
12867,21,1
12867,381,1
12867,471,1
12867,836,1
12867,9420,1
12867,11097,4
12867,12241,1
12867,12729,1
12867,12867,14
12867,12876,3
12867,16560,1
12867,24024,1
12876,8338,1
12876,11098,1
12876,12789,1
12876,12867,1
12876,12876,5
12876,13132,2
12876,13285,2
12876,13596,1
12884,12881,1
12898,836,2
12898,7848,1
12898,12898,1
12898,13834,1
12905,10620,1
12905,12905,1
12909,471,2
12909,924,1
12909,6550,1
12909,9420,1
12909,9793,4
12909,12321,1
12909,12603,1
12909,12881,1
12909,12909,8
12909,13011,1
12909,13518,1
12909,39565,1
12919,836,2
12919,12919,1
12919,30693,1
12932,12932,1
12932,16853,1
12936,836,1
12936,12936,1
12942,9698,1
12942,12942,2
12942,33202,1
12942,35597,1
12942,39965,1
12942,39974,1
12942,49227,1
12947,471,2
12947,5177,2
12947,11097,2
12947,12947,3
12947,13686,1
12949,5177,2
12949,11097,3
12949,12949,1
12952,12952,1
12952,12996,1
12960,10345,1
12960,12931,1
12960,12960,1
12963,7848,1
12963,12963,2
12963,14779,1
12972,23567,1
12983,9420,1
12983,11097,1
12983,12983,1
12985,8152,1
12985,12417,1
12985,12985,2
12985,28761,1
12985,53369,1
12985,60598,1
12987,10694,2
12987,12987,2
12996,836,1
12996,5055,1
12999,381,1
13000,3044,1
13002,21,2
13002,2956,1
13002,8560,1
13002,13002,2
13002,27460,1
13002,27621,1
13005,13005,1
13005,24259,1
13023,,1
13023,3044,4
13023,3151,1
13023,13023,13
13023,14895,1
13023,14913,1
13023,15797,1
13023,16853,1
13023,17487,1
13023,18369,1
13023,18372,1
13023,26239,1
13023,27509,1
13023,37585,2
13023,43019,1
13023,49762,1
13023,51714,1
13023,55122,1
13023,58384,1
13023,61418,1
13023,64377,1
13023,64720,1
13023,64795,1
13023,71442,1
13023,75552,1
13023,78448,1
13027,13168,1
13034,2968,1
13046,10814,1
13046,11097,1
13046,13046,1
13046,14913,1
13046,76050,1
13056,26394,1
13056,53640,1
13057,7848,3
13057,10517,1
13057,13057,2
13061,16337,1
13067,21,1
13068,18970,1
13083,21,1
13087,381,2
13087,13087,4
13087,24593,1
13087,30212,2
13087,64377,1
13100,471,2
13100,836,4
13100,2608,2
13100,3070,1
13100,6529,1
13100,10019,1
13100,11097,1
13100,13100,12
13100,20952,1
13100,21825,2
13100,23283,2
13100,23586,1
13100,23614,1
13100,23664,1
13100,26394,1
13103,13027,1
13103,13103,1
13123,13165,1
13123,15908,1
13132,12527,1
13145,13145,1
13145,14994,1
13155,,2
13155,381,1
13155,471,1
13155,836,1
13155,2452,1
13155,5177,2
13155,8005,1
13155,9085,1
13155,12473,1
13155,13155,1
13155,15361,1
13155,15412,1
13155,33202,2
13155,37330,1
13165,381,3
13165,836,1
13165,13165,3
13165,23305,1
13165,27250,1
13165,27640,1
13175,924,1
13176,13176,1
13176,13323,1
13179,13727,1
13179,77314,1
13182,471,1
13182,2452,1
13213,13155,1
13213,13213,1
13213,14153,1
13213,18843,2
13216,836,1
13226,13176,1
13226,13285,1
13227,947,1
13232,7848,1
13235,21,1
13235,836,5
13235,13235,4
13235,24409,1
13259,381,1
13259,45957,1
13268,13268,1
13268,53812,1
13274,6550,1
13274,12473,1
13281,33812,1
13285,381,1
13285,9503,2
13285,12876,1
13285,13285,4
13291,381,2
13291,471,2
13291,924,1
13291,1066,1
13291,9420,1
13291,12384,1
13291,13291,2
13291,15202,1
13291,15527,1
13291,27768,1
13296,13296,1
13296,13915,1
13309,2452,1
13309,7848,1
13309,10319,3
13315,11097,1
13320,14327,1
13323,924,4
13323,13323,3
13335,42046,1
13341,12363,1
13348,5177,2
13348,13285,1
13348,13348,5
13348,13413,3
13348,59101,1
13370,381,1
13370,13370,5
13370,35644,1
13370,44701,1
13370,47906,2
13370,51223,1
13370,51605,1
13370,52527,1
13370,53507,1
13380,924,1
13380,68023,1
13384,11097,1
13384,13384,1
13390,12363,1
13390,12473,1
13390,13285,1
13406,5224,1
13406,8560,1
13406,13485,1
13413,375,1
13413,2511,1
13413,3044,2
13413,3314,3
13413,8005,1
13413,8646,1
13413,8960,1
13413,9420,1
13413,12866,1
13413,13413,22
13413,13480,2
13413,13508,1
13413,13562,2
13413,13688,4
13413,15927,5
13413,18843,1
13413,42229,1
13413,51597,1
13417,471,2
13417,3510,1
13417,6478,1
13417,8113,1
13417,8479,1
13417,8501,1
13417,10135,2
13417,11097,2
13417,13417,4
13417,16284,1
13450,676,1
13450,836,4
13450,1077,1
13450,13413,1
13450,13450,7
13450,14913,3
13450,23119,1
13450,28279,1
13457,8040,2
13457,11097,1
13457,13457,1
13481,,3
13481,381,3
13481,471,3
13481,2981,1
13481,7738,1
13481,9420,1
13481,11097,3
13481,12527,2
13481,13481,11
13481,14904,3
13481,16761,1
13481,45264,1
13485,10345,1
13496,619,1
13496,10620,1
13498,10814,1
13505,13413,1
13505,13505,3
13505,14904,1
13505,15927,1
13505,32648,1
13505,33279,1
13505,38880,1
13505,62353,2
13505,62358,1
13508,10663,1
13508,13508,2
13508,27433,1
13512,6550,1
13515,381,1
13515,471,1
13516,836,2
13516,13516,1
13517,471,1
13517,836,1
13517,13517,1
13517,20372,1
13518,381,1
13518,836,2
13518,8878,1
13518,9420,2
13518,11097,1
13518,12280,1
13518,13518,6
13518,16214,1
13518,16853,1
13518,18560,1
13518,21024,1
13518,23305,1
13518,24077,1
13518,24550,1
13518,38355,1
13518,38596,1
13518,40839,1
13518,46466,1
13518,62645,1
13518,75152,2
13518,79133,1
13521,924,1
13521,12952,1
13521,13296,1
13521,13521,1
13527,676,1
13527,13527,2
13527,15412,2
13527,47791,1
13529,13521,1
13548,44039,1
13549,16220,1
13562,7848,1
13562,13285,1
13562,13562,3
13562,45509,1
13563,13521,1
13574,13413,2
13574,23129,1
13593,7848,1
13593,12473,1
13596,,1
13596,836,1
13596,13596,2
13598,52719,1
13603,17784,1
13618,381,2
13618,41525,1
13623,9856,1
13623,23905,1
13625,75,1
13625,836,1
13625,11097,1
13625,47772,2
13625,49032,1
13630,7811,1
13630,16853,1
13648,5177,1
13648,9420,1
13648,13648,1
13662,1426,1
13662,8820,3
13662,13662,4
13662,14013,1
13662,17122,1
13662,44790,1
13672,21,1
13680,381,1
13680,1029,1
13680,12473,1
13680,13633,1
13680,13680,1
13686,,1
13686,277,1
13686,836,2
13686,11097,1
13686,12557,1
13686,13686,9
13686,15905,2
13686,16964,2
13686,19067,2
13686,22072,1
13686,23492,1
13714,471,1
13714,13714,1
13714,14560,2
13726,10683,1
13727,21,1
13727,836,1
13727,3230,2
13727,8820,5
13727,9123,1
13727,9774,1
13727,11097,1
13727,12345,7
13727,13686,1
13727,13727,52
13727,15715,1
13727,15946,1
13727,16251,4
13727,18665,3
13727,20635,1
13727,23377,1
13727,23850,1
13727,26163,1
13727,26493,2
13727,26939,1
13727,28175,2
13727,29701,5
13727,32220,5
13727,45610,1
13727,57906,2
13727,63051,3
13735,13735,1
13736,303,1
13736,381,4
13736,471,1
13736,1279,5
13736,8365,1
13736,9123,2
13736,13023,1
13736,13736,17
13736,14906,1
13736,15412,2
13736,15828,1
13736,16613,2
13736,18282,2
13736,18418,1
13736,19161,2
13736,24215,3
13736,27432,2
13736,29173,1
13736,30107,1
13736,52300,1
13736,53479,1
13736,71442,1
13748,11061,2
13748,13748,10
13748,25673,4
13748,37776,2
13748,38983,1
13748,39014,1
13748,39136,1
13748,40546,2
13748,41196,1
13748,41801,3
13748,52664,1
13748,54395,1
13748,56855,1
13748,76801,1
13767,471,1
13767,13767,1
13770,,1
13775,381,1
13775,13775,1
13775,13786,1
13787,13709,1
13787,42031,1
13809,381,2
13809,836,1
13809,8820,1
13809,11097,1
13809,13809,3
13809,15599,1
13818,8820,3
13818,13754,1
13818,13818,1
13818,54832,1
13821,13821,2
13821,20392,2
13821,47791,1
13833,13833,2
13833,20492,1
13833,35930,2
13833,37059,1
13855,381,1
13875,29781,2
13875,32991,1
13875,43174,1
13881,11136,1
13881,13023,1
13881,13881,1
13891,381,1
13891,2511,1
13891,5177,1
13891,12473,2
13891,13891,7
13891,16558,1
13891,16740,3
13891,18812,1
13891,26687,1
13891,35576,1
13896,13881,1
13896,13896,1
13915,471,3
13915,924,1
13915,12473,1
13915,13285,3
13915,13915,2
13915,17397,1
13915,40251,1
13943,9123,1
13943,13285,1
13943,13943,1
13953,14913,1
13957,12858,1
13957,13957,1
13957,16964,1
13957,36977,1
13957,79055,1
13974,21,1
13974,13974,2
13977,52089,1
13977,90220,1
13978,8878,1
13978,13978,1
14003,8820,1
14003,12345,1
14006,836,1
14006,1151,1
14006,10683,1
14006,13736,1
14006,14006,17
14006,32429,1
14006,35644,2
14006,43077,1
14006,44305,1
14006,46305,1
14006,47403,1
14006,50795,1
14006,50863,1
14006,51129,1
14006,51714,1
14006,51744,1
14006,53025,1
14006,57015,1
14006,57731,2
14006,58258,1
14006,58369,1
14006,58449,2
14006,58488,1
14006,58628,1
14006,58736,1
14006,58785,2
14006,58843,1
14006,58977,2
14006,58989,1
14006,59035,1
14006,59310,4
14006,59377,1
14006,59456,1
14006,62664,3
14006,70073,2
14011,12384,1
14011,21232,1
14029,3024,1
14030,9123,1
14030,11097,1
14030,14030,1
14044,471,1
14044,12909,1
14044,13285,1
14044,14044,1
14047,14047,1
14047,15024,1
14048,381,1
14048,910,1
14048,14048,1
14048,15738,1
14048,53378,1
14057,9420,2
14057,14057,2
14059,1151,1
14059,14059,1
14070,14070,1
14070,16928,1
14070,49590,2
14089,588,1
14091,6550,1
14112,9318,1
14112,14112,1
14136,381,1
14150,836,1
14150,14150,1
14152,14152,3
14152,31475,1
14152,45965,2
14153,75,1
14153,676,1
14153,1077,1
14153,14153,3
14153,15527,1
14154,13285,3
14154,14154,2
14167,,1
14167,11097,2
14167,14167,3
14167,42696,1
14175,13680,1
14175,16795,1
14177,13578,1
14177,14177,1
14200,27142,1
14207,14207,1
14207,32356,1
14211,13518,1
14211,14211,1
14218,13132,2
14218,14218,1
14231,,1
14231,13023,1
14231,14231,1
14258,11097,2
14258,14258,1
14265,381,1
14265,14265,1
14265,45191,1
14267,471,1
14267,10814,1
14267,11097,2
14267,14267,2
14283,46061,1
14284,836,1
14284,14675,1
14284,17752,1
14284,18626,3
14284,26493,1
14294,,1
14294,12473,2
14294,14294,3
14310,836,1
14310,924,2
14310,14310,6
14310,23703,1
14310,25429,4
14310,27303,1
14313,8820,1
14313,12443,2
14313,13736,4
14313,14313,6
14313,14685,1
14313,16024,1
14313,16677,1
14313,16971,1
14317,381,1
14320,1151,1
14320,14320,1
14327,21,1
14327,11097,1
14327,14327,1
14327,14328,1
14332,,1
14332,108,1
14332,11097,1
14332,14332,3
14341,,1
14343,8774,2
14357,924,4
14357,11097,1
14357,12603,1
14357,13727,1
14357,14779,1
14359,14359,1
14359,63818,2
14360,,1
14360,676,3
14360,836,1
14360,1330,1
14360,10640,1
14360,14360,19
14360,14779,1
14360,14904,6
14360,21024,2
14360,21608,4
14360,29134,1
14360,31434,1
14360,34304,1
14360,43000,1
14360,43438,1
14368,13285,2
14368,14368,1
14370,14368,1
14372,381,1
14372,9123,1
14372,12757,1
14372,14372,10
14372,23305,1
14372,26724,1
14372,28328,1
14372,28384,1
14372,28714,1
14372,30964,1
14372,33018,4
14372,56177,1
14384,21,1
14384,11097,1
14384,39026,1
14392,924,1
14392,9420,1
14392,13285,1
14393,,1
14393,381,1
14393,924,1
14393,14393,1
14393,26617,1
14397,11097,1
14397,14397,1
14411,,1
14411,12473,1
14421,14421,1
14421,33202,1
14421,70105,1
14427,11097,1
14427,13413,1
14427,14427,1
14427,40853,2
14434,58789,1
14445,381,2
14445,12473,2
14445,13285,1
14445,14445,2
14463,15878,1
14469,13450,1
14469,20835,1
14472,924,1
14472,13578,1
14487,471,1
14487,2532,1
14487,11097,1
14487,49477,1
14495,13727,1
14518,14518,1
14518,46107,1
14519,1426,1
14519,14053,2
14519,14519,4
14519,16853,1
14519,31149,1
14519,47557,1
14519,58736,2
14519,62762,1
14525,21,4
14525,8560,3
14531,816,1
14533,14427,1
14535,12515,1
14560,133,1
14560,381,2
14560,430,1
14560,924,1
14560,14560,17
14560,23240,2
14560,23714,2
14560,26019,2
14560,32605,1
14560,47958,1
14560,60945,4
14560,65776,1
14560,73851,2
14560,83747,1
14562,14562,1
14562,15527,1
14566,,1
14566,6550,1
14573,11097,1
14578,8820,3
14578,11148,1
14578,14578,1
14578,18999,1
14578,23294,1
14578,23487,1
14578,27255,2
14578,27973,1
14578,29494,1
14578,30569,1
14578,32742,1
14578,39362,1
14578,71246,1
14578,77322,2
14582,88763,1
14586,676,1
14586,836,3
14586,843,1
14586,3470,1
14586,5279,1
14586,9123,1
14586,14463,1
14586,14586,4
14586,30408,1
14586,30635,3
14588,14353,2
14588,14588,8
14588,21291,1
14588,23714,1
14588,30786,2
14588,34201,1
14588,35364,1
14588,35723,1
14588,40853,3
14588,42173,1
14588,43458,2
14588,44683,1
14588,84626,1
14596,12473,1
14596,14596,1
14598,13285,1
14604,14604,1
14604,14946,1
14617,14617,1
14617,14913,1
14625,3151,3
14625,14625,5
14625,20635,1
14636,21,1
14636,1426,1
14636,14636,2
14636,14644,1
14636,14740,1
14636,30754,1
14636,44308,1
14642,12473,1
14642,14642,1
14644,1244,1
14644,3151,1
14644,6385,1
14644,11097,1
14644,14913,1
14644,20429,1
14644,25593,1
14652,381,1
14652,12527,1
14652,62014,1
14656,9123,1
14665,12603,1
14667,43030,1
14672,14518,1
14672,61390,1
14675,836,4
14675,2465,1
14675,2576,1
14675,4683,1
14675,8005,1
14675,8710,3
14675,8820,2
14675,9461,2
14675,10024,1
14675,10902,2
14675,13012,1
14675,13833,1
14675,14657,1
14675,14675,56
14675,15384,1
14675,15518,1
14675,16783,1
14675,18375,1
14675,23240,2
14675,23948,1
14675,24696,2
14675,24818,1
14675,25093,1
14675,25188,1
14675,25984,1
14675,27121,1
14675,27250,2
14675,27330,1
14675,28175,2
14675,29587,1
14675,30290,1
14675,30489,1
14675,30613,2
14675,31316,1
14675,32367,2
14675,32882,2
14675,33221,3
14675,33306,3
14675,33432,1
14675,35644,2
14675,37059,1
14675,37810,2
14675,38124,2
14675,40277,1
14675,41525,1
14675,43267,1
14675,43472,1
14675,47182,2
14675,49673,1
14675,51714,2
14675,52089,2
14675,54713,1
14675,55122,2
14675,60428,1
14675,62846,1
14675,65131,5
14675,66117,1
14675,69646,4
14675,70845,2
14675,73441,2
14675,75782,1
14675,79227,1
14675,80461,2
14675,83425,1
14675,83473,5
14675,86339,1
14675,86834,2
14675,87131,1
14675,87864,1
14675,88291,3
14675,89082,1
14681,12473,1
14681,14681,1
14684,836,3
14684,14684,3
14684,16370,3
14684,50127,1
14684,58290,2
14688,12527,3
14688,14688,2
14691,836,1
14691,14006,2
