UserId;OwnerUserId;NbrOfFavoritevotes
8820;15664;1
6529;839;1
12430;2723;1
15705;9663;1
15705;15617;1
15638;15638;1
15722;11097;1
10620;15715;1
15738;8774;1
15738;15738;2
15738;192;1
15738;14044;1
15738;9061;1
15738;3615;1
15738;11044;1
8752;10225;1
13901;8774;1
8752;5199;1
15695;15695;1
15705;15695;1
15764;14829;1
15764;13182;1
15764;12364;1
15764;6469;1
1136;895;1
3105;8878;1
7738;15786;1
11097;15786;1
15798;12294;1
14500;15797;1
15835;10523;1
15837;793;1
6529;14167;1
6529;13413;1
10620;15885;1
13688;13688;1
10620;12378;1
10620;15768;1
10273;14434;1
15928;15921;1
15768;15768;1
15956;3167;1
2750;13508;1
15975;122;1
9805;989;1
15971;15980;1
15690;15690;1
5144;1300;1
1406;15984;1
13248;15215;1
15996;474;1
924;14357;1
15964;15984;1
14602;15984;1
2452;913;1
8752;13046;1
16027;10545;1
16027;322;1
16027;2742;1
16027;227;1
16027;989;1
16027;84;1
16027;97;1
16027;836;1
16027;136;1
16027;721;1
16027;890;1
16027;158;1
6529;16042;1
376;2471;1
960;227;1
1188;13508;1
13123;721;1
10620;13291;1
10620;12516;1
15090;2471;1
10620;9003;1
6518;13881;1
6529;989;1
11098;16126;1
10275;15192;1
10620;14829;1
9234;15984;1
9234;989;1
10542;227;1
14588;13291;1
408;16126;1
4710;16235;1
15403;16236;1
15403;1264;1
15403;13291;1
15403;10584;1
15361;16235;1
16251;16251;2
4710;16251;1
4710;16249;1
15403;9218;1
16255;13809;1
8820;16236;1
16265;14427;1
10273;16197;1
10273;7999;1
15361;16097;1
15361;974;1
15928;14586;1
16300;2661;1
15928;11097;1
10620;16251;1
11097;16236;1
16338;8820;1
15090;1301;1
16345;802;1
13429;16148;1
16350;16097;1
673;157;1
13123;5144;1
1151;15906;1
8752;15906;1
16383;11097;1
108;2723;1
14617;12613;1
13123;434;1
1151;588;1
1151;9670;1
1151;1387;1
16442;1117;1
8810;15617;1
1151;836;1
16446;3167;1
16470;8016;1
836;5144;1
9035;9035;1
14707;10845;1
16470;15735;1
16487;847;1
5144;15197;1
5144;8820;1
5144;8013;2
16510;989;1
5144;5144;1
16522;8206;1
15361;15361;1
