OwnerUserId;UserId;NbrOfLinks
59538;43077;1
59538;32569;1
59405;16511;1
59598;47403;2
59345;9465;1
59904;32288;1
8013;27916;1
27682;47403;1
60136;59991;1
9011;3159;1
60105;9774;1
59550;21707;1
60105;1151;2
31012;46523;1
54046;39854;1
60648;45907;1
60869;39854;1
45107;3281;1
60950;22080;1
43077;17208;1
60099;122;1
61098;42613;1
31075;45821;1
31434;50795;1
60971;15115;1
27685;17772;2
27685;6451;1
61239;53283;1
18207;1406;1
61544;47359;1
17239;15609;1
57233;54580;1
58439;43077;1
51369;33386;1
37792;51129;1
59630;44256;1
49456;44256;1
60184;41658;1
61998;23090;1
61844;1406;1
23240;52096;1
57445;13518;1
13672;29353;1
2893;32543;1
2893;62107;1
52426;61756;1
62399;13672;1
62295;61758;1
62458;62107;1
51687;15946;1
62610;37736;1
62663;15412;1
49752;33020;1
53453;12443;1
62824;35544;1
62829;62107;1
33605;2507;1
60636;47403;1
62938;43472;1
19261;8820;2
63067;9769;1
47359;8820;1
46712;41658;1
19261;59484;1
63196;21560;1
49700;32762;1
32963;45766;1
32963;45892;1
3599;24895;1
62521;10049;1
12586;39851;1
64247;21560;2
30668;17208;1
64302;57724;1
57434;29109;1
63445;8318;1
61261;52780;2
58789;51129;1
64657;45766;1
64657;45892;1
57410;15192;2
64755;2533;1
33279;51141;1
61816;34036;1
65081;64895;1
65228;8013;1
37796;17208;1
15215;62565;1
39706;63834;1
63834;39706;1
65340;40515;1
45764;1151;1
28175;39854;1
50863;49951;1
66019;50441;1
66029;52816;1
32440;47247;1
32440;58378;1
66172;64895;1
2893;58736;1
66372;57082;1
60714;12515;1
65153;15412;1
65153;31602;1
65153;1223;1
66470;40665;1
66593;88;1
49456;12866;1
66661;33970;1
39502;44083;1
66737;21560;1
66737;25115;1
65902;50950;1
67070;52089;1
50795;45892;1
67362;15215;1
67361;97;1
67478;24913;1
67576;50727;2
67637;40240;1
67870;66552;1
48992;50242;1
67949;41629;1
67945;66685;1
51854;8820;1
63693;8820;1
31528;17318;1
53083;27682;1
68234;8944;1
68096;25891;1
67605;50622;1
40077;24411;1
68333;62521;1
14904;37986;1
14904;43939;1
68396;43870;1
67986;26800;1
66745;21638;1
66745;16679;1
68779;50622;1
56922;49067;1
68573;15533;1
37932;10947;1
68818;2750;1
69075;59087;1
45603;10870;1
67605;44477;2
63233;645;1
33701;1151;2
69408;8820;1
61756;21560;1
69621;23640;2
69471;14582;1
64795;26612;1
66736;66117;1
69646;10640;1
69823;21560;1
61417;26202;1
69471;42205;1
49944;69958;1
69958;63717;1
63717;69958;1
69941;26329;1
56922;14582;1
70068;23240;1
70073;30900;1
70163;70097;1
70267;24575;1
50146;65133;1
50146;49697;1
70337;60105;1
70073;46305;1
66863;11074;1
66863;27916;1
70530;70097;1
66252;64795;1
70666;60275;1
